a1	吖阿呵啊锕腌
a2	呵啊嗄
a3	呵啊
a4	呵啊
a5	阿呵啊
ai1	哎哀埃挨唉娭欸嗳锿
ai2	挨哎𫘤騃皑癌
ai3	毐欸嗳嗳矮蔼霭
ai4	艾砹唉爱僾隘𫉁薆碍嗳嗌嫒瑷叆暧
an1	厂广安垵桉氨庵谙谙鹌腤𩽾鞍鞌盦
an3	垵咹俺埯唵铵揞
an4	犴岸按胺案暗黯
ang1	肮
ang2	卬昂
ang4	枊盎
ao1	凹熬爊
ao2	敖隞嶅遨嗷廒璈獒熬聱螯翱謷鳌嚣鏖
ao3	拗袄媪䴈
ao4	岙垇坳拗奡傲奥骜慠隩墺薁澳懊鏊
ba1	八巴扒叭朳芭夿吧岜峇疤捌蚆笆羓粑鲃
ba2	拔妭胈菝跋魃鼥
ba3	把㞎钯靶
ba4	坝把弝爸耙罢𫜨䶕鲅鲌䎬霸灞
ba5	吧罢
bai1	㓦掰𨃅擘
bai2	白拜
bai3	百伯佰柏捭摆
bai4	呗败拜稗𫖔韛
bai5	㗑
ban1	扳攽班般颁斑搬斒瘢𨭉
ban3	阪坂板昄版钣舨蝂
ban4	办半扮
bang1	
bang3	
bang4	
bao1	
bao2	
bao3	
bao4	
bei1	
bei3	
bei4	
bei5	
ben1	
ben3	
ben4	
beng1	
beng2	
beng3	
beng4	
bi1	
bi2	
bi3	
bi4	
bian1	
bian3	
bian4	
biao1	
biao3	
biao4	
bie1	
bie2	
bie3	
bie4	
bin1	
bin4	
bing1	
bing3	
bing4	
bo1	
bo2	
bo3	
bo4	
bo5	
bu1	
bu2	
bu3	
bu4	
ca1	
ca3	
cai1	
cai2	
cai3	
cai4	
can1	
can2	
can3	
can4	
cang1	
cang2	
cao1	
cao2	
cao3	
cao4	
ce4	
cei4	
cen1	
cen2	
ceng1	
ceng2	
ceng4	
cha1	
cha2	
cha3	
cha4	
chai1	
chai2	
chai3	
chai4	
chan1	
chan2	
chan3	
chan4	
chang1	
chang2	
chang3	
chang4	
chao1	
chao2	
chao3	
chao4	
chao5	吵
che1	
che3	
che4	
chen1	
chen2	
chen3	
chen4	
chen5	
cheng1	
cheng2	
cheng3	
cheng4	
chi1	
chi2	
chi3	
chi4	
chong1	
chong2	
chong3	
chong4	
chou1	
chou2	
chou3	
chou4	
chu1	
chu2	
chu3	
chu4	
chua1	
chuai1	
chuai2	
chuai3	
chuai4	
chuan1	
chuan2	
chuan3	
chuan4	
chuang1	
chuang2	
chuang3	
chuang4	
chui1	
chui2	
chun1	
chun2	
chun3	
chuo1	
chuo4	
ci1	
ci2	
ci3	
ci4	
cong1	
cong2	
cou4	
cu1	
cu2	
cu4	
cuan1	
cuan2	
cuan4	
cui1	
cui3	
cui4	
cun1	
cun2	
cun3	
cun4	
cuo1	
cuo2	
cuo3	
cuo4	
da1	
da2	
da3	
da4	
da5	
dai1	
dai3	
dai4	
dan1	
dan3	
dan4	
dang1	
dang3	
dang4	
dao1	
dao2	
dao3	
dao4	
dao5	叨
de1	
de2	
de4	
de5	
dei1	
dei3	
den4	
deng1	
deng3	
deng4	
di1	
di2	
di3	
di4	
di5	弟
dia3	
dian1	
dian3	
dian4	
diao1	
diao3	
diao4	
die1	
die2	
ding1	
ding3	
ding4	
diu1	
dong1	
dong3	
dong4	
dou1	
dou3	
dou4	
du1	
du2	
du3	
du4	
du5	督
duan1	
duan3	
duan4	
dui1	
dui4	
dun1	
dun3	
dun4	
duo1	
duo2	
duo3	
duo4	
duo5	掇
e1	
e2	
e3	
e4	
e5	
ei1	欸诶
ei2	欸诶
ei3	欸诶
ei4	欸诶
en1	
en4	
eng1	
er2	
er3	
er4	
er5	儿
fa1	
fa2	
fa3	
fa4	
fa5	
fan1	
fan2	
fan3	
fan4	
fang1	
fang2	
fang3	
fang4	
fang5	坊
fei1	
fei2	
fei3	
fei4	
fen1	
fen2	
fen3	
fen4	
feng1	
feng2	
feng3	
feng4	
fo2	
fou3	
fu1	
fu2	
fu3	
fu4	
fu5	服父腐妇
ga1	
ga2	
ga3	
ga4	
gai1	
gai3	
gai4	
gan1	
gan3	
gan4	
gang1	
gang3	
gang4	
gao1	
gao3	
gao4	
ge1	
ge2	
ge3	
ge4	
gei3	
gen1	
gen2	
gen3	
gen4	
geng1	
geng3	
geng4	
gong1	
gong3	
gong4	
gou1	
gou3	
gou4	
gu1	
gu2	
gu3	
gu4	
gua1	
gua3	
gua4	
guai1	
guai3	
guai4	
guan1	
guan3	
guan4	
guang1	
guang3	
guang4	
gui1	
gui3	
gui4	
gun3	
gun4	
guo1	
guo2	
guo3	
guo4	
ha1	
ha2	
ha3	
ha4	
hai1	
hai2	
hai3	
hai4	
han1	
han2	
han3	
han4	
hang1	
hang2	
hang4	
hao1	
hao2	
hao3	
hao4	
he1	
he2	
he4	
he5	喝
hei1	
hen2	
hen3	
hen4	
heng1	
heng2	
heng4	
hm	
hng	
hong1	
hong2	
hong3	
hong4	
hou1	
hou2	
hou3	
hou4	
hou5	候
hu1	
hu2	
hu3	
hu4	
